timestamp_us,ch0,ch1,ch2,ch3,ch4,ch5,time_s
39947024,2010,22,8,6,9,8,0.0
39948024,1969,22,7,9,7,9,0.001
39949024,1947,24,7,8,8,7,0.002
39950024,1983,23,6,7,8,7,0.003
39951024,1998,24,6,6,7,9,0.004
39952024,2031,24,4,5,5,4,0.005
39953024,2044,23,5,4,6,6,0.006
39954024,2063,21,5,6,7,5,0.007
39955024,2050,22,6,7,6,4,0.008
39956024,2056,22,5,3,3,2,0.009
39957024,2119,24,3,5,3,5,0.01
39958024,2175,25,4,5,5,2,0.011
39959024,2188,23,4,5,5,4,0.012
39960024,2147,23,5,4,6,5,0.013
39961024,2111,22,5,4,6,7,0.014
39962024,2074,20,4,7,9,5,0.015
39963024,2058,21,5,7,6,9,0.016
39964024,2016,20,7,9,6,8,0.017
39965024,2011,24,6,7,9,6,0.018
39966024,2004,22,7,6,7,9,0.019
39967024,2019,25,6,8,7,10,0.02
39968024,1961,22,8,7,8,5,0.021
39969024,1951,23,7,7,6,10,0.022
39970024,1983,24,6,6,6,8,0.023
39971024,2003,24,6,6,6,7,0.024
39972024,2031,24,7,6,5,3,0.025
39973024,2055,24,6,5,3,7,0.026
39974024,2032,22,5,3,7,3,0.027
39975024,2049,22,6,6,4,1,0.028
39976024,2045,23,5,3,3,4,0.029
39977024,2112,23,4,5,2,4,0.03
39978024,2176,24,5,6,7,4,0.031
39979024,2206,25,4,6,6,4,0.032
39980024,2140,20,6,7,4,2,0.033
39981024,2106,20,6,4,4,6,0.034
39982024,2071,23,7,7,7,6,0.035
39983024,2050,23,7,7,7,7,0.036
39984024,2011,23,7,6,8,6,0.037
39985024,2007,24,5,7,9,7,0.038
39986024,2022,24,5,8,7,11,0.039
39987024,2021,22,9,8,8,6,0.04
39988024,1980,20,5,6,8,8,0.041
39989024,1955,23,7,7,7,10,0.042
39990024,1982,23,6,6,7,7,0.043
39991024,2008,23,7,7,5,6,0.044
39992024,2032,22,5,3,7,8,0.045
39993024,2037,24,5,6,6,4,0.046
39994024,2039,22,6,6,5,3,0.047
39995024,2056,22,6,6,4,3,0.048
39996024,2071,24,5,4,1,3,0.049
39997024,2111,24,6,5,3,5,0.05
39998024,2167,25,4,3,7,6,0.051
39999024,2191,22,4,4,4,3,0.052
40000024,2159,22,6,7,8,4,0.053
40001024,2103,22,7,7,6,6,0.054
40002024,2063,22,6,5,4,5,0.055
40003024,2040,23,7,7,7,8,0.056
40004024,2032,23,7,8,6,8,0.057
40005024,2008,23,7,8,8,5,0.058
40006024,2013,23,6,7,8,6,0.059
40007024,2003,24,7,6,8,9,0.06
40008024,1959,21,7,8,7,11,0.061
40009024,1953,22,8,5,8,6,0.062
40010024,1972,24,7,9,7,10,0.063
40011024,2023,26,6,5,6,7,0.064
40012024,2048,24,6,7,9,5,0.065
40013024,2031,23,6,4,4,6,0.066
40014024,2049,22,5,4,6,7,0.067
40015024,2047,22,4,4,5,3,0.068
40016024,2047,22,5,4,5,4,0.069
40017024,2109,24,3,7,5,2,0.07
40018024,2167,25,5,4,4,4,0.071
40019024,2191,25,6,7,6,5,0.072
40020024,2163,21,5,5,3,4,0.073
40021024,2116,20,4,6,6,4,0.074
40022024,2068,22,7,7,6,5,0.075
40023024,2046,23,7,7,7,7,0.076
40024024,2031,22,5,5,4,5,0.077
40025024,2002,23,6,8,7,10,0.078
40026024,2020,22,7,8,8,7,0.079
40027024,2017,24,7,8,8,7,0.08
40028024,1980,23,7,8,7,9,0.081
40029024,1960,23,7,7,8,4,0.082
40030024,1969,23,8,5,4,8,0.083
40031024,2022,24,4,5,7,7,0.084
40032024,2036,23,7,8,4,4,0.085
40033024,2039,22,6,6,8,5,0.086
