timestamp_us,ch0,ch1,ch2,ch3,ch4,ch5,time_s
40470019,1672,16,3,6,7,5,0.0
40471019,1504,13,3,6,3,5,0.001
40472019,1406,14,4,4,3,5,0.002
40473019,1355,16,6,7,7,6,0.003
40474019,1675,28,6,7,7,6,0.004
40475019,1907,29,8,6,7,7,0.005
40476019,2008,28,7,7,6,7,0.006
40477019,2207,31,7,7,6,6,0.007
40478019,2253,28,7,7,7,7,0.008
40479019,2307,28,6,6,6,8,0.009
40480019,2412,28,7,7,7,8,0.01
40481019,2623,36,7,9,5,6,0.011
40482019,2734,35,8,7,8,7,0.012
40483019,2779,28,7,9,6,10,0.013
40484019,2444,16,5,6,9,6,0.014
40485019,2188,15,4,4,3,7,0.015
40486019,2095,19,4,4,4,5,0.016
40487019,1860,13,4,4,5,5,0.017
40488019,1752,14,6,7,6,6,0.018
40489019,1716,18,4,3,5,2,0.019
40490019,1677,17,2,6,4,4,0.02
40491019,1494,13,4,4,1,4,0.021
40492019,1378,14,4,5,3,6,0.022
40493019,1363,15,4,6,6,5,0.023
40494019,1674,31,6,8,3,6,0.024
40495019,1906,31,7,8,5,5,0.025
40496019,2007,27,5,4,6,7,0.026
40497019,2191,30,8,7,9,6,0.027
40498019,2280,28,6,7,8,7,0.028
40499019,2303,29,6,7,7,9,0.029
40500019,2404,28,8,5,5,7,0.03
40501019,2640,35,9,7,10,11,0.031
40502019,2754,33,6,9,4,6,0.032
40503019,2771,31,8,6,10,8,0.033
40504019,2439,17,5,6,7,8,0.034
40505019,2178,15,6,6,5,4,0.035
40506019,2092,17,4,5,4,4,0.036
40507019,1855,13,4,6,5,3,0.037
40508019,1755,15,5,3,3,7,0.038
40509019,1731,19,5,6,5,2,0.039
40510019,1672,15,5,5,4,4,0.04
40511019,1508,12,4,6,5,4,0.041
40512019,1403,13,5,6,4,4,0.042
40513019,1360,14,6,6,4,4,0.043
40514019,1682,29,7,7,5,5,0.044
40515019,1904,30,6,7,7,7,0.045
40516019,2007,27,6,7,7,6,0.046
40517019,2191,32,7,7,8,6,0.047
40518019,2287,29,6,7,7,8,0.048
40519019,2319,29,8,7,8,6,0.049
40520019,2400,29,8,6,8,8,0.05
40521019,2620,34,10,9,7,11,0.051
40522019,2748,33,8,6,10,9,0.052
40523019,2775,31,7,8,7,7,0.053
40524019,2440,14,5,4,5,6,0.054
40525019,2168,14,5,4,5,6,0.055
40526019,2080,17,5,5,6,8,0.056
40527019,1875,15,6,5,3,6,0.057
40528019,1764,14,5,3,7,3,0.058
40529019,1720,18,6,7,5,1,0.059
40530019,1651,17,3,4,1,3,0.06
40531019,1515,13,4,3,5,4,0.061
40532019,1395,13,4,5,4,3,0.062
40533019,1383,15,6,7,5,5,0.063
40534019,1695,28,6,6,5,6,0.064
40535019,1918,29,7,7,7,8,0.065
40536019,1996,27,8,4,5,4,0.066
40537019,2203,32,8,8,8,7,0.067
40538019,2268,28,6,7,9,7,0.068
40539019,2304,28,6,8,6,8,0.069
40540019,2415,30,7,7,9,5,0.07
40541019,2623,35,9,7,7,9,0.071
40542019,2751,34,7,8,6,7,0.072
40543019,2812,29,5,7,8,6,0.073
40544019,2440,15,6,8,5,7,0.074
40545019,2191,15,5,5,4,5,0.075
40546019,2084,15,4,5,6,8,0.076
40547019,1864,12,4,4,3,6,0.077
40548019,1770,15,5,6,6,5,0.078
40549019,1727,19,6,7,6,4,0.079
40550019,1648,17,3,4,1,1,0.08
40551019,1500,12,4,3,5,3,0.081
40552019,1392,12,4,3,4,4,0.082
40553019,1369,16,5,6,6,8,0.083
40554019,1701,31,8,7,6,6,0.084
40555019,1912,31,8,7,7,7,0.085
40556019,2003,28,6,8,5,5,0.086
40557019,2200,32,7,8,6,9,0.087
40558019,2280,30,8,7,8,7,0.088
