timestamp_us,ch0,ch1,ch2,ch3,ch4,ch5,time_s
445457010,1735,59,8,7,9,9,0.0
445458010,1808,59,7,11,7,11,0.001
445459010,1927,60,6,7,6,7,0.002
445460010,1972,57,7,5,3,7,0.003
445461010,2030,60,5,4,4,3,0.004
445462010,2160,62,7,7,6,5,0.005
445463010,2167,60,5,3,4,1,0.006
445464010,2199,64,5,6,5,3,0.007
445465010,2720,81,8,6,6,6,0.008
445466010,2887,79,6,7,4,3,0.009
445467011,2907,74,6,7,6,6,0.010001
445468010,2653,64,3,4,2,5,0.011
445469010,2327,53,4,4,4,3,0.012
445470010,2183,54,5,4,6,6,0.013
445471010,1903,49,5,5,5,3,0.014
445472010,1474,37,3,7,6,5,0.015
445473010,1515,45,6,6,4,2,0.016
445474010,1322,38,6,6,4,3,0.017
445475010,1591,56,8,5,6,8,0.018
445476010,1698,60,9,7,11,10,0.019
445477010,1755,56,8,9,8,7,0.02
445478010,1797,57,8,7,11,10,0.021
445479010,1916,60,6,7,7,7,0.022
445480010,2004,60,5,5,4,3,0.023
445481010,2064,60,6,8,4,4,0.024
445482010,2131,63,7,6,7,6,0.025
445483010,2152,61,4,3,3,3,0.026
445484010,2224,61,6,6,4,2,0.027
445485010,2729,81,8,5,4,6,0.028
445486010,2884,80,7,7,8,4,0.029
445487010,2896,73,6,7,7,7,0.03
445488010,2692,63,4,4,3,4,0.031
445489010,2301,54,4,6,7,4,0.032
445490011,2144,56,3,7,6,5,0.033001
445491010,1916,51,4,3,4,2,0.034
445492011,1503,38,3,7,4,5,0.035001
445493010,1512,44,5,3,6,6,0.036
445494011,1306,40,5,4,3,5,0.037001
445495010,1601,56,8,8,7,6,0.038
445496011,1744,59,10,10,11,9,0.039001
445497010,1728,59,7,8,6,10,0.04
445498010,1810,61,6,7,11,7,0.041
445499010,1903,60,7,7,6,7,0.042
445500010,1998,60,7,7,5,3,0.043
445501010,2043,59,7,7,4,4,0.044
445502010,2162,63,6,4,3,6,0.045
445503010,2157,60,3,6,6,3,0.046
445504010,2216,63,6,4,1,1,0.047
445505010,2719,84,7,8,4,6,0.048
445506010,2912,78,8,4,6,7,0.049
445507010,2920,72,4,4,6,4,0.05
445508010,2666,63,6,5,4,2,0.051
445509010,2305,52,4,4,6,6,0.052
445510011,2162,56,4,6,7,4,0.053001
445511010,1919,49,4,5,4,4,0.054
445512011,1479,37,4,6,5,5,0.055001
445513010,1493,46,7,7,6,6,0.056
445514011,1292,38,3,6,5,2,0.057001
445515010,1620,55,7,7,6,8,0.058
445516011,1723,59,8,7,8,7,0.059001
445517010,1735,59,8,7,9,9,0.06
445518011,1819,60,7,10,8,7,0.061001
445519010,1910,60,5,6,6,7,0.062
445520010,1983,60,6,7,6,6,0.063
445521010,2056,58,7,7,6,5,0.064
445522010,2167,62,5,3,5,2,0.065
445523010,2159,60,4,5,1,3,0.066
445524010,2221,61,4,6,5,3,0.067
445525010,2738,83,9,7,7,6,0.068
445526010,2883,78,7,6,6,5,0.069
445527010,2888,71,6,7,5,3,0.07
445528010,2672,63,3,6,4,4,0.071
445529010,2330,53,3,5,4,5,0.072
445530010,2155,56,5,3,8,5,0.073
445531010,1894,51,4,3,5,5,0.074
445532010,1473,38,4,5,4,4,0.075
445533010,1497,43,6,8,4,6,0.076
445534010,1306,40,3,6,6,7,0.077
445535010,1595,57,7,8,5,6,0.078
445536010,1734,60,7,9,7,10,0.079
445537010,1751,56,8,5,7,10,0.08
445538010,1814,60,7,9,7,9,0.081
445539010,1912,61,6,7,7,7,0.082
445540010,1997,60,6,6,6,7,0.083
445541010,2048,61,7,6,6,4,0.084
445542010,2155,62,7,6,6,4,0.085
445543010,2139,60,4,4,2,3,0.086
445544010,2223,60,6,5,3,4,0.087
445545010,2738,82,10,6,8,4,0.088
445546010,2867,79,5,4,5,4,0.089
445547010,2884,71,4,5,5,5,0.09
445548010,2671,61,4,6,7,7,0.091
445549010,2328,51,5,5,4,3,0.092
445550010,2152,56,3,7,6,7,0.093
445551010,1912,50,5,3,5,3,0.094
445552010,1497,36,1,4,3,6,0.095
445553010,1468,44,6,7,6,6,0.096
445554010,1292,42,4,3,7,4,0.097
445555010,1613,56,7,9,4,6,0.098
445556010,1759,60,8,8,7,10,0.099
445557010,1729,58,8,8,7,9,0.1
445558010,1807,59,7,8,8,7,0.101
445559010,1911,60,5,6,8,5,0.102
445560010,1980,60,6,8,4,6,0.103
445561010,2038,62,6,6,7,6,0.104
445562010,2172,62,6,4,2,5,0.105
445563010,2163,62,3,6,7,4,0.106
445564010,2207,60,5,3,4,1,0.107
445565010,2727,83,9,7,6,7,0.108
445566010,2886,78,7,7,6,4,0.109
445567010,2913,72,6,6,6,4,0.11
445568010,2662,64,4,3,6,5,0.111
445569010,2311,53,3,6,6,3,0.112
445570010,2167,54,7,6,5,2,0.113
445571010,1914,48,4,3,6,6,0.114
445572010,1492,39,3,6,6,4,0.115
445573010,1468,44,4,3,6,5,0.116
445574010,1309,39,5,6,4,3,0.117
445575010,1611,56,8,7,7,10,0.118
445576010,1736,59,10,10,7,9,0.119
445577010,1756,57,7,8,7,8,0.12
445578010,1827,58,9,6,10,8,0.121
445579010,1905,61,6,7,6,7,0.122
445580010,1966,62,5,5,4,4,0.123
445581010,2087,62,7,6,6,7,0.124
445582010,2176,61,4,4,3,5,0.125
445583010,2176,62,6,6,7,3,0.126
445584010,2207,62,5,4,1,0,0.127
445585010,2744,83,7,9,5,4,0.128
445586010,2864,79,6,7,8,5,0.129
445587010,2866,74,6,7,6,7,0.13
445588010,2659,63,4,3,5,2,0.131
445589010,2323,52,3,7,4,5,0.132
445590011,2173,54,6,6,6,7,0.133001
445591010,1873,48,4,3,5,2,0.134
445592011,1485,39,3,6,5,5,0.135001
445593010,1478,45,4,4,4,5,0.136
445594011,1285,41,4,6,6,6,0.137001
445595010,1604,57,6,8,4,7,0.138
445596011,1744,58,8,8,7,12,0.139001
445597010,1757,58,9,7,11,10,0.14
445598010,1781,58,7,9,6,9,0.141
445599010,1928,60,6,7,7,5,0.142
445600010,1984,58,5,5,5,5,0.143
445601010,2049,60,6,7,7,7,0.144
445602010,2151,63,7,5,2,5,0.145
445603010,2188,60,3,5,5,3,0.146
445604010,2211,63,5,3,6,5,0.147
445605010,2740,81,8,6,7,7,0.148
445606010,2872,79,6,7,5,3,0.149
445607010,2891,72,4,4,4,5,0.15
445608010,2659,64,4,6,7,7,0.151
445609010,2318,51,5,4,2,4,0.152
445610010,2177,56,4,6,8,4,0.153
445611010,1899,48,4,4,2,7,0.154
445612010,1475,39,4,5,3,6,0.155
445613010,1474,44,4,6,7,4,0.156
445614010,1301,40,4,6,6,6,0.157
445615010,1614,56,7,9,6,7,0.158
445616010,1735,60,8,7,9,5,0.159
445617010,1748,59,8,9,8,8,0.16
445618010,1819,60,8,7,10,9,0.161
445619010,1924,60,7,7,6,7,0.162
445620010,1961,60,6,7,7,7,0.163
445621010,2048,62,5,5,3,6,0.164
445622010,2171,64,4,6,4,1,0.165
445623010,2197,60,6,7,4,4,0.166
445624010,2227,63,6,5,3,4,0.167
445625010,2735,82,8,4,7,6,0.168
445626010,2888,77,6,7,8,4,0.169
445627010,2882,75,6,5,4,5,0.17
445628010,2637,63,4,4,4,3,0.171
445629010,2346,54,3,6,8,4,0.172
445630011,2189,55,4,5,3,7,0.173001
445631010,1884,48,3,6,6,5,0.174
445632011,1468,37,3,5,3,5,0.175001
445633010,1472,46,5,4,4,3,0.176
445634011,1274,40,5,6,7,7,0.177001
445635010,1590,59,7,9,4,6,0.178
445636011,1735,59,9,8,9,7,0.179001
445637010,1769,57,8,7,9,10,0.18
445638010,1822,59,9,8,7,10,0.181
445639010,1900,59,7,9,7,8,0.182
445640010,1964,60,4,5,7,5,0.183
445641010,2064,61,7,7,7,6,0.184
445642010,2145,61,4,4,2,4,0.185
445643010,2182,61,5,5,4,2,0.186
445644010,2247,61,5,5,4,3,0.187
445645010,2744,82,8,7,9,4,0.188
445646010,2842,78,7,8,4,4,0.189
445647010,2867,75,4,5,5,5,0.19
445648010,2671,63,5,6,7,7,0.191
445649010,2304,51,4,5,4,3,0.192
445650010,2167,56,3,7,6,7,0.193
445651010,1896,48,3,4,3,6,0.194
445652010,1502,37,3,6,6,4,0.195
445653010,1468,44,6,6,5,4,0.196
445654010,1280,41,4,4,3,6,0.197
445655010,1604,57,7,10,9,4,0.198
445656010,1759,60,9,8,6,9,0.199
445657010,1758,58,8,9,7,10,0.2
445658010,1806,60,7,10,9,6,0.201
445659010,1923,60,7,6,6,8,0.202
445660010,1980,59,7,5,4,3,0.203
445661010,2029,60,6,7,8,4,0.204
445662010,2150,64,6,6,4,4,0.205
445663010,2205,60,4,3,6,6,0.206
445664010,2236,60,4,5,1,3,0.207
445665011,2736,81,8,6,7,7,0.208001
445666010,2863,80,7,7,6,4,0.209
445667010,2893,72,6,7,4,2,0.21
445668010,2651,62,6,5,4,3,0.211
445669010,2295,52,3,4,4,5,0.212
445670010,2188,54,5,4,6,7,0.213
445671010,1922,47,4,5,6,6,0.214
445672010,1472,37,3,7,7,6,0.215
445673010,1449,45,6,6,6,4,0.216
445674010,1313,41,4,4,4,3,0.217
445675010,1621,56,7,8,7,7,0.218
445676010,1729,59,9,7,10,8,0.219
445677010,1743,57,7,9,6,10,0.22
445678010,1842,58,7,9,7,8,0.221
445679010,1936,58,7,7,9,4,0.222
445680010,1963,63,6,7,7,7,0.223
445681010,2047,59,7,5,3,4,0.224
445682010,2170,61,5,3,7,4,0.225
445683010,2175,60,4,6,3,5,0.226
445684010,2223,62,7,6,4,1,0.227
445685010,2759,83,7,8,3,6,0.228
445686010,2892,75,7,7,7,6,0.229
445687010,2863,74,5,4,3,3,0.23
445688010,2624,62,3,7,7,3,0.231
445689010,2328,52,1,5,4,3,0.232
445690010,2191,55,6,6,7,7,0.233
445691010,1897,48,3,4,4,3,0.234
445692010,1474,38,4,4,4,5,0.235
445693010,1474,44,4,5,4,5,0.236
445694010,1280,39,4,6,6,7,0.237
445695010,1594,57,8,6,7,8,0.238
445696010,1747,62,8,9,8,7,0.239
445697010,1773,56,6,10,10,9,0.24
445698010,1844,60,7,8,5,7,0.241
445699010,1901,61,5,7,9,6,0.242
445700010,1976,62,7,8,5,7,0.243
445701010,2047,60,5,5,5,5,0.244
445702010,2150,63,5,5,4,4,0.245
445703010,2168,61,4,4,5,4,0.246
445704010,2246,63,6,7,5,4,0.247
445705010,2776,83,9,5,4,6,0.248
445706010,2872,78,6,6,6,7,0.249
445707010,2880,73,4,5,2,6,0.25
