timestamp_us,ch0,ch1,ch2,ch3,ch4,ch5,time_s
304402010,2580,23,5,4,3,7,0.0
304403010,2326,24,3,7,8,4,0.001
304404010,2189,25,6,6,7,6,0.002
304405010,1811,17,3,6,6,8,0.003
304406010,1624,18,6,8,4,5,0.004
304407010,1604,24,5,7,9,6,0.005
304408010,1484,21,6,8,4,8,0.006
304409010,1388,22,7,8,6,9,0.007
304410010,1419,27,6,7,8,6,0.008
304411010,1387,25,6,6,7,9,0.009
304412010,1700,36,7,6,8,6,0.01
304413010,1951,37,7,7,6,8,0.011
304414010,2063,36,5,6,7,7,0.012
304415010,2379,40,7,6,4,4,0.013
304416010,2531,39,6,6,5,4,0.014
304417010,2607,35,5,4,3,5,0.015
304418010,2739,39,4,6,6,5,0.016
304419010,2887,40,6,8,4,4,0.017
304420010,2863,37,6,7,6,6,0.018
304421010,2907,36,5,3,4,4,0.019
304422010,2576,22,6,6,6,6,0.02
304423010,2304,22,4,4,3,7,0.021
304424010,2190,27,4,6,8,3,0.022
304425010,1816,16,3,7,6,7,0.023
304426010,1631,21,6,6,7,7,0.024
304427010,1592,22,8,5,4,4,0.025
304428010,1507,25,7,8,6,8,0.026
304429010,1395,22,6,8,7,7,0.027
304430010,1411,25,5,6,9,7,0.028
304431010,1388,23,8,6,7,8,0.029
304432010,1715,35,8,7,6,8,0.03
304433010,1963,37,6,7,5,3,0.031
304434010,2083,36,7,6,5,5,0.032
304435010,2388,39,7,5,3,8,0.033
304436010,2524,38,6,6,7,4,0.034
304437010,2582,36,3,6,4,2,0.035
304438010,2732,36,6,4,4,3,0.036
304439010,2872,40,5,3,7,5,0.037
304440010,2879,38,7,7,6,4,0.038
304441010,2923,35,6,4,2,5,0.039
304442010,2560,22,3,4,4,3,0.04
304443010,2287,22,5,5,6,7,0.041
304444010,2196,24,4,7,8,4,0.042
304445010,1810,16,4,7,7,9,0.043
304446010,1628,19,7,9,6,6,0.044
304447010,1576,24,5,6,9,5,0.045
304448010,1475,24,6,9,7,10,0.046
304449010,1419,24,7,7,8,5,0.047
304450010,1420,25,6,6,7,8,0.048
304451010,1408,25,8,7,8,7,0.049
304452010,1712,36,8,6,7,9,0.05
304453010,1934,39,8,5,5,4,0.051
304454010,2051,36,5,6,9,4,0.052
304455010,2390,43,7,7,7,6,0.053
304456010,2544,38,4,5,2,4,0.054
304457010,2571,37,5,5,5,3,0.055
304458010,2720,38,7,7,7,6,0.056
304459010,2897,42,6,6,6,5,0.057
304460010,2896,35,6,4,2,5,0.058
304461010,2908,35,6,5,5,3,0.059
304462010,2575,23,3,4,4,5,0.06
304463010,2311,23,5,4,6,8,0.061
304464010,2198,24,5,5,7,7,0.062
304465010,1826,16,4,5,7,8,0.063
304466010,1643,20,5,7,10,8,0.064
304467010,1576,21,7,9,6,9,0.065
304468010,1469,23,7,8,6,7,0.066
304469010,1422,23,5,4,8,7,0.067
304470010,1415,24,6,9,8,8,0.068
304471010,1398,26,8,5,8,7,0.069
304472010,1716,34,8,6,8,7,0.07
304473010,1934,39,6,8,5,7,0.071
304474010,2056,35,7,7,8,6,0.072
304475010,2395,43,7,5,5,4,0.073
304476010,2547,40,4,6,7,7,0.074
304477010,2598,36,4,6,4,2,0.075
304478010,2716,38,5,6,4,4,0.076
304479010,2892,40,4,6,6,6,0.077
304480010,2904,38,6,6,4,3,0.078
304481010,2938,36,4,3,6,7,0.079
304482010,2552,22,3,6,4,2,0.08
304483010,2312,22,3,7,7,7,0.081
304484010,2175,25,6,5,4,3,0.082
304485010,1835,18,6,7,8,6,0.083
304486010,1631,19,7,7,8,8,0.084
304487010,1583,24,7,8,4,7,0.085
304488010,1491,22,6,6,9,7,0.086
304489010,1407,22,6,8,6,11,0.087
304490010,1423,24,5,6,10,8,0.088
304491010,1400,26,8,6,7,8,0.089
304492010,1703,36,7,7,7,7,0.09
304493010,1940,37,6,6,7,6,0.091
304494010,2059,36,7,7,7,6,0.092
304495010,2375,41,7,7,6,4,0.093
304496010,2531,40,6,7,5,3,0.094
304497010,2607,35,7,7,6,7,0.095
304498010,2735,39,5,2,5,2,0.096
304499010,2880,40,3,7,4,4,0.097
304500010,2896,36,5,5,3,5,0.098
