timestamp_us,ch0,ch1,ch2,ch3,ch4,ch5,time_s
32472024,2215,15,5,5,3,7,0.0
32473024,2100,17,5,6,7,6,0.001
32474024,1990,19,7,7,6,6,0.002
32475024,1778,15,7,8,5,6,0.003
32476024,1748,19,7,7,9,7,0.004
32477024,1687,20,4,6,8,8,0.005
32478024,1639,21,7,9,7,10,0.006
32479025,1548,17,7,8,7,7,0.007001
32480024,1550,20,5,6,7,8,0.008
32481024,1647,25,7,8,6,8,0.009
32482024,1868,28,5,5,7,8,0.01
32483024,1983,28,7,8,6,7,0.011
32484024,2096,26,7,7,8,2,0.012
32485024,2247,28,4,3,6,7,0.013
32486024,2272,25,5,5,3,3,0.014
32487024,2344,26,7,6,6,3,0.015
32488024,2456,28,5,4,3,4,0.016
32489024,2608,30,5,6,6,4,0.017
32490024,2611,28,4,6,5,3,0.018
32491024,2487,21,4,4,3,6,0.019
32492024,2216,15,6,6,6,6,0.02
32493024,2092,16,3,5,4,4,0.021
32494024,1988,17,5,5,7,8,0.022
32495024,1784,16,6,6,9,5,0.023
32496024,1757,20,5,6,8,7,0.024
32497024,1708,19,7,8,4,8,0.025
32498024,1631,20,7,7,9,9,0.026
32499024,1535,17,6,7,8,7,0.027
32500024,1523,19,6,7,7,10,0.028
32501025,1634,23,8,4,5,7,0.029001
32502024,1884,30,8,6,9,5,0.03
32503024,1971,28,6,8,4,7,0.031
32504024,2080,27,7,7,7,8,0.032
32505024,2268,30,6,6,6,6,0.033
32506024,2264,24,3,5,2,5,0.034
32507024,2335,27,4,4,4,3,0.035
32508024,2443,27,6,7,6,5,0.036
32509024,2608,30,6,6,6,4,0.037
32510024,2587,26,5,4,4,3,0.038
32511024,2496,19,6,7,7,7,0.039
32512024,2236,15,5,4,4,3,0.04
32513024,2109,17,3,7,7,7,0.041
32514024,1993,18,6,7,6,6,0.042
32515024,1798,16,4,4,4,4,0.043
32516024,1744,19,6,8,7,7,0.044
32517024,1695,20,6,8,7,7,0.045
32518024,1648,19,6,8,8,7,0.046
32519024,1523,16,4,4,6,9,0.047
32520024,1525,21,6,8,8,6,0.048
32521024,1659,25,7,8,7,9,0.049
32522024,1881,29,7,7,9,3,0.05
32523024,1986,27,8,3,7,8,0.051
32524024,2086,28,6,7,6,4,0.052
32525024,2255,29,5,4,2,4,0.053
32526024,2268,23,6,6,7,5,0.054
32527024,2346,26,6,5,1,1,0.055
32528024,2453,27,6,3,7,6,0.056
32529024,2604,28,4,3,6,5,0.057
32530024,2599,26,6,6,6,5,0.058
32531024,2518,22,4,3,5,3,0.059
32532024,2230,13,4,5,4,4,0.06
32533024,2096,17,5,4,4,6,0.061
32534024,1991,18,7,8,6,8,0.062
32535024,1792,15,6,7,9,6,0.063
32536024,1759,19,7,8,6,9,0.064
32537024,1708,19,7,7,7,8,0.065
32538024,1642,20,5,6,8,7,0.066
32539024,1521,15,7,7,7,9,0.067
32540024,1532,20,5,6,7,7,0.068
32541024,1662,25,6,7,8,4,0.069
32542024,1864,28,7,7,6,8,0.07
32543024,1976,28,7,6,7,7,0.071
32544024,2087,28,6,6,6,6,0.072
32545024,2257,29,6,6,5,2,0.073
32546024,2266,25,5,4,1,3,0.074
32547024,2338,27,6,5,5,3,0.075
32548024,2444,26,5,4,4,4,0.076
32549024,2592,30,6,5,5,2,0.077
32550024,2607,27,4,4,6,5,0.078
32551024,2491,22,3,7,7,5,0.079
32552024,2246,15,3,6,6,6,0.08
32553024,2113,15,6,7,6,6,0.081
32554024,2010,19,6,5,5,5,0.082
32555024,1793,15,7,7,9,7,0.083
32556024,1747,20,6,7,9,6,0.084
32557024,1712,17,6,7,8,7,0.085
32558024,1648,19,8,6,7,9,0.086
32559024,1530,17,6,8,4,7,0.087
32560024,1532,20,6,7,8,8,0.088
32561024,1649,25,8,6,8,7,0.089
32562024,1880,30,8,7,7,8,0.09
32563024,1965,28,6,8,5,5,0.091
32564024,2084,27,5,4,4,5,0.092
32565024,2242,30,6,6,7,6,0.093
32566024,2275,24,4,2,6,5,0.094
32567024,2331,27,7,4,3,4,0.095
32568024,2444,25,3,4,5,3,0.096
32569024,2615,30,6,5,6,5,0.097
32570024,2616,27,4,4,5,2,0.098
32571024,2475,19,4,6,7,6,0.099
32572024,2231,15,5,6,6,4,0.1
32573024,2100,15,6,6,7,4,0.101
32574024,1994,17,5,4,3,5,0.102
32575024,1794,14,7,8,6,6,0.103
32576024,1742,19,7,7,9,5,0.104
32577024,1696,19,5,6,8,7,0.105
32578024,1648,20,7,8,7,11,0.106
32579025,1544,18,8,7,9,7,0.107001
32580024,1532,18,7,9,6,9,0.108
32581024,1631,24,7,6,9,6,0.109
32582024,1879,30,6,7,7,8,0.11
32583024,1978,28,6,5,4,4,0.111
32584024,2090,26,7,7,8,6,0.112
32585024,2261,27,6,6,6,7,0.113
32586024,2275,25,4,4,3,4,0.114
32587024,2328,26,7,7,6,4,0.115
32588024,2471,28,3,6,5,3,0.116
32589024,2609,29,4,4,3,5,0.117
32590024,2592,26,6,6,6,4,0.118
32591024,2480,22,5,3,5,2,0.119
32592024,2225,14,5,6,6,7,0.12
32593024,2102,18,6,7,5,4,0.121
32594024,1990,19,6,7,5,5,0.122
32595024,1797,14,6,6,7,10,0.123
32596025,1763,20,6,7,8,6,0.124001
32597024,1695,20,7,8,4,6,0.125
32598024,1642,20,7,8,7,10,0.126
32599025,1528,17,7,8,7,7,0.127001
32600024,1517,19,6,8,7,9,0.128
32601024,1639,24,7,6,8,6,0.129
32602024,1854,29,6,5,5,5,0.13
32603024,1984,26,6,7,6,6,0.131
32604024,2095,26,5,5,4,3,0.132
32605024,2227,29,4,6,5,3,0.133
32606024,2287,26,5,6,5,4,0.134
32607024,2322,24,4,6,5,5,0.135
32608024,2459,28,6,7,6,7,0.136
32609024,2607,30,5,3,4,3,0.137
32610024,2617,25,5,5,4,5,0.138
32611024,2495,22,5,5,4,5,0.139
32612024,2247,16,4,4,4,6,0.14
32613024,2107,16,4,6,7,8,0.141
32614024,2012,19,7,8,3,7,0.142
32615024,1784,14,4,6,9,6,0.143
32616024,1743,19,6,7,8,7,0.144
32617024,1703,20,6,8,4,8,0.145
32618024,1644,20,7,8,6,8,0.146
32619024,1548,17,7,7,10,8,0.147
32620025,1537,20,7,7,9,6,0.148001
32621024,1635,25,7,7,6,8,0.149
32622024,1855,30,9,6,5,6,0.15
32623024,1976,25,5,7,5,5,0.151
32624024,2075,27,5,5,4,6,0.152
32625024,2240,28,5,4,5,5,0.153
32626024,2291,28,5,4,4,5,0.154
32627024,2345,26,7,6,7,6,0.155
32628024,2451,28,4,4,3,5,0.156
32629024,2592,31,5,3,7,3,0.157
32630024,2634,27,4,4,3,4,0.158
32631024,2503,21,4,6,5,3,0.159
32632024,2226,15,5,4,4,5,0.16
32633024,2095,17,5,7,8,5,0.161
32634024,2007,19,7,8,5,7,0.162
32635024,1800,12,4,7,9,8,0.163
32636024,1732,19,6,7,7,9,0.164
32637024,1700,17,6,7,7,8,0.165
32638024,1632,20,7,8,4,7,0.166
32639024,1532,17,7,7,7,8,0.167
32640024,1555,22,6,7,7,8,0.168
32641024,1632,23,7,7,7,8,0.169
32642024,1851,30,7,7,7,6,0.17
32643024,1995,28,7,7,6,7,0.171
32644024,2094,27,7,7,7,6,0.172
