timestamp_us,ch0,ch1,ch2,ch3,ch4,ch5,time_s
115292011,2267,56,3,7,5,2,0.0
115293011,2155,57,5,3,7,6,0.001
115294011,1826,45,3,6,4,3,0.002
115295011,1489,40,3,6,6,5,0.003
115296011,1452,46,5,3,4,2,0.004
115297011,1295,41,3,7,4,5,0.005
115298011,1683,61,9,7,7,8,0.006
115299011,1780,61,9,9,7,8,0.007
115300011,1803,59,9,8,9,6,0.008
115301011,1883,61,6,10,11,11,0.009
115302011,1961,61,7,7,7,7,0.01
115303011,1987,63,7,5,4,4,0.011
115304011,2061,62,5,3,8,4,0.012
115305011,2159,63,6,7,6,6,0.013
115306011,2159,62,4,4,3,4,0.014
115307011,2212,63,4,6,6,4,0.015
115308011,2730,83,8,8,5,4,0.016
115309011,2787,77,6,7,7,7,0.017
115310011,2807,73,5,3,6,5,0.018
115311011,2550,63,6,7,6,4,0.019
115312011,2274,54,4,4,2,5,0.02
115313011,2156,57,3,7,6,4,0.021
115314011,1828,47,3,4,2,4,0.022
115315011,1492,41,2,4,4,3,0.023
115316011,1483,46,6,5,6,7,0.024
115317011,1291,41,4,4,4,3,0.025
115318011,1664,61,7,9,8,8,0.026
115319011,1779,63,10,9,7,11,0.027
115320011,1808,57,8,7,11,8,0.028
115321011,1875,62,8,7,9,7,0.029
115322011,1948,59,7,7,5,6,0.03
115323011,2012,62,5,4,3,8,0.031
115324011,2076,63,5,6,6,6,0.032
115325011,2168,63,6,7,3,3,0.033
115326011,2155,61,4,3,3,4,0.034
115327011,2232,61,5,5,3,4,0.035
115328011,2712,83,11,8,6,7,0.036
115329011,2783,76,5,3,8,2,0.037
115330011,2810,75,5,4,5,3,0.038
115331011,2575,63,4,3,6,5,0.039
115332011,2261,54,3,6,4,3,0.04
115333011,2152,57,3,5,4,4,0.041
115334011,1828,47,5,4,6,7,0.042
115335011,1515,39,4,3,7,3,0.043
115336011,1456,46,4,6,4,3,0.044
115337011,1293,43,5,4,3,7,0.045
115338011,1664,62,7,10,9,6,0.046
115339011,1783,60,7,9,7,11,0.047
115340011,1787,59,8,6,11,8,0.048
115341011,1881,59,7,10,7,7,0.049
115342011,1962,61,6,6,7,6,0.05
115343011,2008,61,4,5,5,5,0.051
115344011,2059,62,7,8,6,7,0.052
115345011,2150,63,4,3,7,5,0.053
115346011,2151,62,3,7,4,3,0.054
115347011,2212,61,3,5,3,4,0.055
115348011,2711,83,8,6,8,4,0.056
115349011,2815,78,6,7,5,3,0.057
115350011,2844,73,4,5,2,7,0.058
115351011,2574,63,5,6,5,3,0.059
115352011,2257,55,3,7,5,6,0.06
115353011,2154,56,5,5,3,8,0.061
115354011,1847,47,5,4,4,3,0.062
115355011,1503,41,3,5,6,7,0.063
115356011,1475,46,5,3,6,3,0.064
115357011,1299,43,4,5,3,3,0.065
115358011,1651,60,7,8,6,7,0.066
115359011,1783,61,9,7,12,7,0.067
115360011,1798,60,6,9,8,8,0.068
115361011,1891,61,7,9,7,9,0.069
115362011,1947,61,6,7,9,4,0.07
115363011,1994,61,5,4,5,4,0.071
115364011,2075,62,7,6,7,5,0.072
115365011,2151,63,6,6,3,4,0.073
115366011,2155,61,3,6,5,1,0.074
115367011,2216,62,6,3,5,2,0.075
115368011,2712,83,9,4,3,7,0.076
115369011,2819,76,6,7,7,6,0.077
115370011,2819,75,6,4,2,5,0.078
115371011,2575,64,4,4,5,2,0.079
115372011,2292,54,3,6,6,6,0.08
115373011,2165,56,4,4,4,4,0.081
115374011,1855,50,5,5,6,7,0.082
115375011,1523,41,2,5,4,3,0.083
115376011,1496,46,6,6,7,5,0.084
115377011,1293,42,5,3,4,3,0.085
115378011,1632,61,7,8,5,7,0.086
115379011,1779,63,7,9,8,9,0.087
115380011,1808,59,9,8,8,8,0.088
115381011,1872,61,6,9,8,7,0.089
115382011,1954,61,5,5,6,8,0.09
115383011,2009,61,6,6,8,4,0.091
115384011,2070,63,6,7,7,7,0.092
115385011,2130,62,6,6,5,1,0.093
115386011,2151,61,3,6,6,5,0.094
115387011,2223,62,4,3,3,4,0.095
115388011,2695,81,7,8,3,6,0.096
115389011,2808,76,6,5,6,6,0.097
115390011,2833,74,6,6,8,2,0.098
115391011,2611,63,5,4,4,4,0.099
115392011,2271,56,3,7,7,7,0.1
115393011,2152,55,6,5,3,5,0.101
115394011,1876,48,3,4,4,3,0.102
