timestamp_us,ch0,ch1,ch2,ch3,ch4,ch5,time_s
4045012,1996,21,4,4,7,7,0.0
114046012,2210,27,7,8,4,3,110.001
114047012,2333,24,6,7,6,5,110.002
114048012,2351,20,4,4,5,4,110.003
114049012,2479,23,7,8,6,8,110.004
114050012,2591,23,4,4,4,3,110.005
114051012,2575,19,5,6,8,6,110.006
114052012,2639,21,3,7,5,3,110.007
114053012,2431,11,6,6,5,4,110.008
114054012,2229,11,5,3,4,5,110.009
114055012,2124,13,3,6,6,8,110.01
114056012,1885,8,5,6,6,7,110.011
114057012,1770,12,6,8,2,7,110.012
114058013,1739,14,6,6,8,3,110.013001
114059012,1615,11,4,3,7,8,110.014
114060012,1548,11,6,7,5,3,110.015
114061012,1574,16,6,7,7,8,110.016
114062012,1536,13,5,3,6,5,110.017
114063012,1713,23,8,5,3,5,110.018
114064012,1902,24,5,7,7,6,110.019
114065012,2016,20,5,5,5,3,110.02
114066012,2208,23,7,8,6,7,110.021
114067012,2338,27,7,6,7,4,110.022
114068012,2399,22,4,4,4,2,110.023
114069012,2464,20,6,8,6,7,110.024
114070012,2559,25,4,6,8,4,110.025
114071012,2591,23,6,8,5,6,110.026
114072012,2658,20,3,5,4,4,110.027
114073012,2427,13,3,4,4,6,110.028
114074012,2208,10,6,4,6,7,110.029
114075012,2136,12,3,5,7,7,110.03
114076012,1919,10,7,4,4,3,110.031
114077012,1771,10,6,7,9,6,110.032
114078012,1711,15,6,6,5,6,110.033
114079012,1649,12,5,5,5,5,110.034
114080012,1580,14,7,8,6,7,110.035
114081012,1543,15,6,5,6,7,110.036
114082012,1512,13,6,7,9,4,110.037
114083012,1733,22,6,6,7,7,110.038
114084012,1936,22,6,6,5,5,110.039
114085012,1976,20,4,5,4,7,110.04
114086012,2195,26,6,8,4,4,110.041
114087012,2335,25,6,7,8,6,110.042
114088012,2383,20,6,6,5,7,110.043
114089012,2464,21,7,7,4,4,110.044
114090012,2555,26,6,5,3,6,110.045
114091012,2615,22,6,6,8,4,110.046
114092012,2657,19,6,6,7,6,110.047
114093012,2447,14,4,3,4,4,110.048
114094012,2216,9,3,7,6,7,110.049
114095012,2136,12,4,3,6,6,110.05
114096013,1911,8,5,6,6,6,110.051001
114097012,1760,9,4,6,7,7,110.052
114098012,1712,12,4,7,7,7,110.053
114099012,1640,11,7,8,3,6,110.054
114100013,1576,12,4,4,5,4,110.055001
114101012,1561,15,6,6,7,6,110.056
114102012,1544,14,4,5,5,3,110.057
114103012,1731,23,7,9,4,6,110.058
114104012,1894,24,6,7,8,7,110.059
114105012,1991,23,7,7,7,7,110.06
114106012,2212,24,4,3,5,3,110.061
114107012,2346,24,6,7,4,5,110.062
114108012,2363,21,6,4,4,6,110.063
114109012,2463,23,6,7,7,8,110.064
114110012,2592,24,6,6,7,5,110.065
114111012,2630,23,5,3,4,2,110.066
114112012,2623,22,6,6,7,7,110.067
114113012,2413,12,4,4,4,3,110.068
114114012,2228,9,4,4,4,3,110.069
114115012,2147,13,4,7,6,8,110.07
114116013,1870,8,4,4,2,4,110.071001
114117012,1759,12,5,4,6,7,110.072
114118012,1755,14,5,5,6,7,110.073
114119012,1619,10,4,6,9,3,110.074
114120013,1562,14,6,6,7,8,110.075001
114121012,1544,15,6,5,4,4,110.076
114122012,1549,16,4,4,6,8,110.077
114123012,1727,24,8,6,7,5,110.078
114124012,1918,26,6,7,7,6,110.079
114125012,2012,18,4,6,7,6,110.08
114126012,2224,24,5,5,5,4,110.081
114127012,2336,23,7,8,4,3,110.082
114128012,2376,20,5,3,7,7,110.083
114129012,2456,23,6,6,6,7,110.084
114130012,2573,23,4,3,4,4,110.085
114131012,2591,23,6,7,4,6,110.086
114132012,2620,19,6,7,6,8,110.087
