timestamp_us,ch0,ch1,ch2,ch3,ch4,ch5,time_s
84282011,1766,9,4,6,6,8,0.0
84283011,1741,14,6,6,7,7,0.001
84284011,1689,15,6,6,6,7,0.002
84285011,1631,13,4,5,4,6,0.003
84286010,1567,14,6,8,8,8,0.003999
84287011,1535,18,8,7,11,11,0.005
84288010,1723,22,6,6,6,6,0.005999
84289011,1932,22,5,3,5,5,0.007
84290010,1986,23,6,7,6,6,0.007999
84291011,2176,22,4,6,6,4,0.009
84292010,2296,21,4,6,6,4,0.009999
84293011,2332,18,7,7,6,3,0.011
84294010,2399,22,3,3,3,3,0.011999
84295011,2504,21,4,3,6,3,0.013
84296010,2576,19,4,2,3,3,0.013999
84297011,2623,20,3,5,1,1,0.015
84298010,2399,14,4,3,5,4,0.015999
84299011,2207,12,4,5,5,6,0.017
84300010,2114,12,6,8,6,8,0.017999
84301011,1888,10,6,5,5,4,0.019
84302010,1756,11,5,6,9,7,0.019999
84303011,1768,15,7,6,6,7,0.021
84304010,1704,15,7,7,7,8,0.021999
84305011,1564,12,4,6,7,8,0.023
84306010,1551,19,7,8,4,6,0.023999
84307011,1575,17,6,7,8,6,0.025
84308010,1743,23,8,6,8,7,0.025999
84309011,1889,24,6,7,6,8,0.027
84310010,1975,23,6,6,6,6,0.027999
84311011,2192,22,4,4,2,3,0.029
84312010,2303,24,5,4,3,3,0.029999
84313011,2289,19,4,4,5,3,0.031
84314010,2406,21,5,4,4,3,0.031999
84315011,2535,20,4,4,3,4,0.033
84316010,2552,19,4,3,5,0,0.033999
84317011,2592,19,4,5,4,4,0.035
84318010,2399,14,5,6,7,5,0.035999
84319011,2193,10,6,5,4,4,0.037
84320010,2111,15,6,5,5,4,0.037999
84321011,1908,9,3,4,4,5,0.039
84322011,1780,11,7,7,10,7,0.04
84323011,1760,12,4,4,6,8,0.041
84324011,1654,15,6,9,7,8,0.042
84325011,1577,12,6,8,8,4,0.043
84326010,1568,14,8,6,9,6,0.043999
84327011,1547,16,7,8,7,11,0.045
84328011,1709,23,8,5,5,4,0.046
84329011,1916,25,7,7,8,4,0.047
84330011,2024,19,5,3,5,6,0.048
84331011,2183,25,6,5,2,6,0.049
84332010,2278,22,5,2,7,4,0.049999
84333011,2304,20,4,3,5,4,0.051
84334010,2409,21,6,5,2,6,0.051999
84335011,2499,22,4,3,7,5,0.053
84336010,2544,19,4,3,3,4,0.053999
84337011,2615,20,3,7,3,4,0.055
84338010,2403,11,4,3,4,4,0.055999
84339011,2195,11,4,3,6,6,0.057
