timestamp_us,grip_voltage,relative_time_us
126315135,2064,0
126315505,2057,370
126315876,2048,741
126316251,2040,1116
126316622,2032,1487
126316992,2024,1857
126317363,2017,2228
126317736,2010,2601
126318107,2004,2972
126318477,1999,3342
126318848,1993,3713
126319219,1989,4084
126319589,1986,4454
126319960,1982,4825
126320330,1982,5195
126320705,1982,5570
126321076,1983,5941
126321446,1984,6311
126321816,1986,6681
126322187,1989,7052
126322558,1994,7423
126322933,1998,7798
126323303,2005,8168
126323674,2011,8539
126324049,2018,8914
126324419,2025,9284
126324790,2034,9655
126325161,2041,10026
126325531,2051,10396
126325906,2058,10771
126326276,2067,11141
126326647,2075,11512
126327017,2083,11882
126327388,2090,12253
126327758,2097,12623
126328129,2103,12994
126328500,2109,13365
126328870,2113,13735
126329245,2118,14110
126329616,2120,14481
126329987,2123,14852
126330357,2126,15222
126330732,2124,15597
126331103,2124,15968
126331473,2122,16338
126331843,2120,16708
126332214,2116,17079
126332585,2112,17450
126332955,2106,17820
126333326,2100,18191
126333699,2094,18564
126334070,2087,18935
126334440,2080,19305
126334810,2072,19675
126335181,2063,20046
126335552,2055,20417
126335926,2047,20791
126336297,2039,21162
126336667,2031,21532
126337043,2023,21908
126337414,2016,22279
126337784,2009,22649
126338155,2003,23020
126338525,1996,23390
126338900,1992,23765
126339270,1988,24135
126339640,1985,24505
126340011,1983,24876
126340381,1981,25246
126340752,1981,25617
126341123,1981,25988
126341493,1984,26358
126341863,1987,26728
126342238,1989,27103
126342608,1993,27473
126342979,1999,27844
126343349,2005,28214
126343724,2012,28589
126344095,2019,28960
126344465,2026,29330
126344836,2034,29701
126345207,2041,30072
126345577,2050,30442
126345948,2059,30813
126346318,2067,31183
126346690,2076,31555
126347061,2084,31926
126347432,2091,32297
126347802,2098,32667
126348173,2104,33038
126348543,2109,33408
126348918,2114,33783
126349288,2118,34153
126349658,2121,34523
126350030,2124,34895
126350400,2125,35265
126350771,2124,35636
126351141,2123,36006
126351512,2122,36377
126351886,2119,36751
126352256,2115,37121
126352627,2111,37492
126352997,2105,37862
126353368,2100,38233
126353742,2093,38607
126354112,2087,38977
126354483,2079,39348
126354853,2071,39718
126355224,2063,40089
126355594,2054,40459
126355965,2046,40830
126356336,2039,41201
126356709,2029,41574
126357079,2023,41944
126357450,2016,42315
126357820,2009,42685
126358191,2002,43056
