adc6,Time_s,ch1,ch2
1199.0,0.0,-0.006198830417901402,0.0037078255719606742
1199.0,0.0,-0.007633708464052109,0.002430342325895349
1199.0,0.0,-0.006039399523884657,0.004985308818025999
1199.0,0.0,-0.005481391394826049,0.006342634766970407
1199.0,0.0,-0.005162529606792558,0.006582162875607655
1199.0,0.0,-0.004843667818759068,0.006662005578486738
1202.0,0.001,-0.00675683854696001,0.005144994223784165
1202.0,0.001,-0.005561106841834421,0.006342634766970407
1202.0,0.001,-0.0047639523717506954,0.0068216909842449035
1202.0,0.001,-0.004923383265767441,0.005144994223784165
1202.0,0.001,-0.0030899279845748714,0.006182949361212241
1202.0,0.001,-0.0031696434315832437,0.0061031066583331585
1202.0,0.001,-0.0030899279845748714,0.007460432607277566
1202.0,0.001,-0.004126228795683715,0.0075402753101566486
1202.0,0.001,-0.004126228795683715,0.005144994223784165
,0.002,-0.05307151325882448,-0.07182337135165165
,0.002,-0.006597407652943265,0.00586357854969591
,0.002,-0.14035992773299244,-0.2291933387263239
,0.002,-0.08623313921430747,-0.13138602769944743
,0.002,-0.030193179967421546,-0.03174233450635209
,0.002,-0.008191716593110717,0.0031489266518070947
,0.002,-0.009068586510202816,0.0018714434057417698
,0.002,-0.008032285699093972,0.00330861205756526
,0.002,-0.0069959848879851275,0.005224836926663247
,0.002,-0.012257204390537717,-0.0022005344410914534
,0.002,-0.006198830417901402,0.0065023201727285726
,0.003,-0.18404399269358063,-0.33746004383036016
,0.003,-0.1669848870337889,-0.28460417452440734
,0.003,-0.17264468377138334,-0.3039261086211454
,0.003,-0.17671017156881036,-0.31717999729907315
,0.003,-0.1814930983893127,-0.32963545894821006
,0.003,-0.18842834227904112,-0.34520478600963117
,0.003,-0.19329098454655186,-0.3522309438629905
,0.003,-0.19592159429782816,-0.3561432363040655
,0.003,-0.19998708209525515,-0.36348876496894117
,0.004,-0.1512809439731395,-0.2834065339812211
,0.004,-0.1501649277150223,-0.28268794965530936
,0.004,-0.15813647241585954,-0.29402561346413914
,0.004,-0.1515200903141646,-0.28747851182805434
,0.004,-0.20006679754226353,-0.36444687740349013
,0.004,-0.1855585861867397,-0.34217076330022606
,0.004,-0.19034151300724206,-0.34999534818237615
,0.004,-0.1957621634038114,-0.35829898928180076
,0.004,-0.19918992762517143,-0.36356860767182025
,0.004,-0.16945606589104845,-0.31725984000195223
,0.005,-0.15813647241585954,-0.3019300410491683
,0.005,-0.17057208214916567,-0.3222899302833344
,0.005,-0.1826888300944383,-0.34169170708295155
,0.005,-0.19249383007646811,-0.3567819779270982
,0.005,-0.19887106583713793,-0.3660437314610718
,0.005,-0.20054509022431374,-0.36716152930137896
,0.005,-0.1968781796619286,-0.35941678712210795
,0.005,-0.19074009024228392,-0.3474403816902455
,0.005,-0.17926106587307827,-0.32803860489062836
,0.005,-0.16626744801071355,-0.3068802886276714
,0.006,-0.06598541567418083,-0.1375339158211368
,0.006,-0.07339895224595948,-0.15126686071633905
,0.006,-0.08160964328782186,-0.16579823264033214
,0.006,-0.0910957814818182,-0.18240551483918135
,0.006,-0.14673716349366225,-0.2818096799236394
,0.006,-0.1149307001373216,-0.2244027765535789
,0.006,-0.12106878955696629,-0.23574044036240865
,0.006,-0.12720687897661098,-0.24643936254820575
,0.006,-0.13517842367744823,-0.26136994798659424
,0.006,-0.10209651316897361,-0.20228634785607297
,0.007,-0.02285935884265127,-0.055615302667197844
,0.007,-0.019591025515307996,-0.04834961670520131
,0.007,-0.02030846453838335,-0.05050536968293655
,0.007,-0.024852245017860583,-0.059767123216910155
,0.007,-0.027323423875120136,-0.06535611241844595
,0.007,-0.0309106189904969,-0.07238227027180523
,0.007,-0.03545439946997414,-0.08148433840002067
,0.007,-0.04055618807850999,-0.09106546274551061
,0.007,-0.04717257018020491,-0.1036806098004057
,0.007,-0.05713700105625148,-0.12164521794819932
,0.008,0.0026495842000279547,-0.004356287418826689
,0.008,-0.0028507816435497536,-0.014496310684470205
,0.008,-0.005082814159784186,-0.018648131234182512
,0.008,-0.007155415782001873,-0.023199165298290234
,0.008,0.012773445970091273,0.011372725048352622
,0.008,-0.010184602768320032,-0.02918736801422144
,0.008,-0.011460049920453992,-0.03198186261498934
,0.008,-0.015206675929847504,-0.03876849235971137
,0.008,-0.017040131211040074,-0.042920312909423684
,0.008,-0.017119846658048443,-0.04403811074973084
,0.008,-0.009467163745244677,-0.027350985848002538
,0.009,0.14223133191168835,0.25353564288061076
,0.009,0.14055730752451254,0.24754744016467956
,0.009,0.13521637257495156,0.2342935514867518
,0.009,0.12254161650062033,0.20882372926832438
,0.009,0.10404763279467788,0.17409215351592336
,0.009,0.06092157596314831,0.09640520361457582
,0.009,0.04178986868113889,0.0625518975938447
,0.009,0.025527917491430886,0.033648839151616726
,0.009,0.08252446210241729,0.13528859991668912
,0.01,0.1772264131483639,0.3257134462833016
,0.01,0.17818299851246439,0.3313024354848374
,0.01,0.17977730745263185,0.33202101981074916
,0.01,0.17084917738769412,0.31301845652552746
,0.01,0.1752335269731546,0.3277893565581578
,0.01,0.15418864896294424,0.28156043159116884
,0.01,0.14167332378262976,0.2551324969381924
,0.01,0.13960072216041206,0.25353564288061076
,0.01,0.1636747871569406,0.29904598352168793
,0.01,0.1464562506031321,0.2671887450729339
,0.01,0.14127474654758787,0.25768746343032306
,0.011,0.16702283593129222,0.3158927938291744
,0.011,0.14773169775526607,0.2841952407861785
,0.011,0.13505694168093482,0.26144007046563994
,0.011,0.1362526733860604,0.261519913168519
,0.011,0.15913100667746333,0.2984072418986553
,0.011,0.1775452749363974,0.32978542413013484
,0.011,0.18998088466970353,0.35246075174779434
,0.011,0.19723499034746544,0.3674711798890619
,0.011,0.14454307987493115,0.2736560040061396
,0.012,0.1589715757834466,0.30726978191823345
,0.012,0.140876169312546,0.2649531493923196
,0.012,0.1427096245937386,0.2695840261593064
,0.012,0.1447025107689479,0.27565207157811666
,0.012,0.14948543758945027,0.2877083197128582
,0.012,0.17371893347999554,0.33449614360000074
,0.012,0.19866986839361614,0.37793057396622176
,0.012,0.20209763261497615,0.3824816080303295
,0.012,0.20472824236625245,0.3843179901965484
,0.012,0.20321364887309337,0.37984679883531974
,0.012,0.18990116922269515,0.3629201458249542
,0.013,0.03748523454268677,0.053529672168508347
,0.013,0.03868096624781236,0.0597574029930768
,0.013,0.03860125080080399,0.06566576300612893
,0.013,0.04011584429396307,0.07468798843146529
,0.013,0.05860982799990551,0.1154876096026766
,0.013,0.07654580357678935,0.1512571404925057
,0.013,0.10293161653656067,0.19972166114010895
,0.013,0.13489751078691808,0.25417438450364344
,0.013,0.04609450281959101,0.08945888846409561
,0.014,0.03230373048714255,0.04227185106255767
,0.014,0.03349946219226814,0.03947735646178977
,0.014,0.03166600691107557,0.03827971591860353
,0.014,0.031028283335008594,0.038998300244515276
,0.014,0.031586291464067204,0.04099436781649234
,0.014,0.03636921828456956,0.04602445809787456
,0.014,0.03557206381448583,0.044188075931655656
,0.014,0.037325803648670025,0.050655334864861366
,0.014,0.03660836462559467,0.046663199720907225
,0.014,0.037564949989695146,0.04905848080727971
,0.014,0.033021169510217906,0.041313738628008675
,0.015,0.02967312073586626,0.03221167049979324
,0.015,0.031586291464067204,0.03340931104297948
,0.015,0.03349946219226814,0.03548522131783563
,0.015,0.033818323980301636,0.03492632239768205
,0.015,0.0356517792614942,0.03708207537541729
,0.015,0.035332917473460713,0.03708207537541729
,0.015,0.034456047556368614,0.037241760781175456
,0.015,0.03437633210936024,0.038998300244515276
,0.015,0.03509377113243559,0.03628364834662646
,0.016,0.02194072237605412,0.02893811968175084
,0.016,0.01604177929743455,0.02302975966869871
,0.016,0.016759218320509903,0.022949916965819626
,0.016,0.018114380919652236,0.023508815885973207
,0.016,0.024890193915363908,0.03301009752858407
,0.016,0.025767063832456007,0.0323713559055514
,0.016,0.023535031316221575,0.02742110832704827
,0.016,0.024810478468355532,0.02893811968175084
,0.016,0.02688308009057322,0.03165277157963966
,0.016,0.027600519113648574,0.03181245698539782
,0.016,0.028078811795698808,0.031014029956606994
,0.017,0.008468811831639153,0.015045489380790433
,0.017,0.009026819960697761,0.015684231003823094
,0.017,0.010063120771806605,0.016961714249888418
,0.017,0.010302267112831724,0.017201242358525666
,0.017,0.011338567923940565,0.01847872560459099
,0.017,0.012215437841032665,0.019676366147777236
,0.017,0.012454584182057783,0.019356995336260903
,0.017,0.012454584182057783,0.018957781821865492
,0.017,0.013969177675216861,0.02071432128520531
,0.018,0.007512226467538683,0.014566433163515935
,0.018,0.0069542183384800746,0.01352847802608786
,0.018,0.005758486633354485,0.011213039642594458
,0.018,0.004801901269254015,0.009696028287891885
,0.018,0.009584828089756369,0.016881871547009333
,0.018,0.005917917527371231,0.011292882345473541
,0.018,0.0066353565504465835,0.012650208294417948
,0.018,0.009026819960697761,0.01632297262685576
,0.018,0.008468811831639153,0.015205174786548597
,0.018,0.0055193402923293675,0.01073398342531996
,0.019,-0.0012564727033823019,0.011452567751231706
,0.019,-0.0020536271734660277,0.009456500179254637
,0.019,-0.0021333426204744,0.009137129367738304
,0.019,-0.0020536271734660277,0.008498387744705642
,0.019,-0.0009376109153488115,0.00897744396198014
,0.019,0.000497267130801895,0.009935556396529132
,0.019,0.0019321451769526016,0.01097351153395721
,0.019,0.004483039481220524,0.013368792620329693
,0.019,0.0060773484213879755,0.014566433163515935
,0.019,0.0066353565504465835,0.014247062351999604
,0.02,-0.0047639523717506954,0.007061219092882152
,0.02,-0.004923383265767441,0.006901533687123987
,0.02,-0.0053219605008093035,0.0065023201727285726
,0.02,-0.006278545864909775,0.004825623412267834
,0.02,-0.006916269440976755,0.0032287693546861774
,0.02,-0.0014956190444074195,0.01073398342531996
,0.02,-0.005242245053800931,0.004905466115146916
,0.02,-0.005481391394826049,0.003787668274839757
,0.02,-0.005800253182859539,0.0034682974633234256
,0.02,-0.0038870824546585973,0.0065023201727285726
,0.02,-0.00675683854696001,0.0032287693546861774
