Weights Used,Total Weight (g),Sample #,Sensor Value (V)
None (0g),0,1,227.0
None (0g),0,2,232.0
None (0g),0,3,226.0
None (0g),0,4,227.0
None (0g),0,5,222.0
None (0g),0,6,229.0
None (0g),0,7,218.0
None (0g),0,8,223.0
None (0g),0,9,224.0
None (0g),0,10,221.0
None (0g),0,11,231.0
None (0g),0,12,223.0
None (0g),0,13,223.0
None (0g),0,14,227.0
None (0g),0,15,219.0
None (0g),0,16,228.0
None (0g),0,17,223.0
None (0g),0,18,217.0
None (0g),0,19,218.0
None (0g),0,20,230.0
W1,128,1,244.0
W1,128,2,244.0
W1,128,3,236.0
W1,128,4,241.0
W1,128,5,243.0
W1,128,6,238.0
W1,128,7,246.0
W1,128,8,250.0
W1,128,9,249.0
W1,128,10,247.0
W1,128,11,251.0
W1,128,12,246.0
W1,128,13,245.0
W1,128,14,247.0
W1,128,15,247.0
W1,128,16,246.0
W1,128,17,245.0
W1,128,18,249.0
W1,128,19,250.0
W1,128,20,249.0
W2,128,1,244.0
W2,128,2,246.0
W2,128,3,244.0
W2,128,4,250.0
W2,128,5,243.0
W2,128,6,255.0
W2,128,7,247.0
W2,128,8,248.0
W2,128,9,253.0
W2,128,10,244.0
W2,128,11,251.0
W2,128,12,246.0
W2,128,13,252.0
W2,128,14,253.0
W2,128,15,246.0
W2,128,16,245.0
W2,128,17,245.0
W2,128,18,246.0
W2,128,19,243.0
W2,128,20,247.0
W3,259,1,368.0
W3,259,2,372.0
W3,259,3,366.0
W3,259,4,370.0
W3,259,5,371.0
W3,259,6,372.0
W3,259,7,365.0
W3,259,8,370.0
W3,259,9,368.0
W3,259,10,370.0
W3,259,11,375.0
W3,259,12,371.0
W3,259,13,369.0
W3,259,14,371.0
W3,259,15,370.0
W3,259,16,361.0
W3,259,17,377.0
W3,259,18,374.0
W3,259,19,359.0
W3,259,20,374.0
W4,487,1,1230.0
W4,487,2,1240.0
W4,487,3,1230.0
W4,487,4,1234.0
W4,487,5,1240.0
W4,487,6,1242.0
W4,487,7,1235.0
W4,487,8,1234.0
W4,487,9,1233.0
W4,487,10,1235.0
W4,487,11,1238.0
W4,487,12,1236.0
W4,487,13,1242.0
W4,487,14,1255.0
W4,487,15,1243.0
W4,487,16,1244.0
W4,487,17,1242.0
W4,487,18,1243.0
W4,487,19,1246.0
W4,487,20,1244.0
W5,518,1,1161.0
W5,518,2,1169.0
W5,518,3,1164.0
W5,518,4,1167.0
W5,518,5,1172.0
W5,518,6,1204.0
W5,518,7,1202.0
W5,518,8,1207.0
W5,518,9,1218.0
W5,518,10,1218.0
W5,518,11,1219.0
W5,518,12,1232.0
W5,518,13,1221.0
W5,518,14,1221.0
W5,518,15,1222.0
W5,518,16,1229.0
W5,518,17,1221.0
W5,518,18,1225.0
W5,518,19,1234.0
W5,518,20,1232.0
W1+W2,256,1,457.0
W1+W2,256,2,456.0
W1+W2,256,3,459.0
W1+W2,256,4,458.0
W1+W2,256,5,458.0
W1+W2,256,6,458.0
W1+W2,256,7,459.0
W1+W2,256,8,454.0
W1+W2,256,9,457.0
W1+W2,256,10,455.0
W1+W2,256,11,459.0
W1+W2,256,12,456.0
W1+W2,256,13,458.0
W1+W2,256,14,458.0
W1+W2,256,15,456.0
W1+W2,256,16,456.0
W1+W2,256,17,459.0
W1+W2,256,18,458.0
W1+W2,256,19,450.0
W1+W2,256,20,459.0
W1+W3,387,1,505.0
W1+W3,387,2,505.0
W1+W3,387,3,508.0
W1+W3,387,4,508.0
W1+W3,387,5,509.0
W1+W3,387,6,505.0
W1+W3,387,7,502.0
W1+W3,387,8,502.0
W1+W3,387,9,509.0
W1+W3,387,10,509.0
W1+W3,387,11,508.0
W1+W3,387,12,508.0
W1+W3,387,13,495.0
W1+W3,387,14,509.0
W1+W3,387,15,506.0
W1+W3,387,16,509.0
W1+W3,387,17,509.0
W1+W3,387,18,509.0
W1+W3,387,19,509.0
W1+W3,387,20,509.0
W1+W4,615,1,1583.0
W1+W4,615,2,1583.0
W1+W4,615,3,1576.0
W1+W4,615,4,1588.0
W1+W4,615,5,1594.0
W1+W4,615,6,1591.0
W1+W4,615,7,1588.0
W1+W4,615,8,1583.0
W1+W4,615,9,1593.0
W1+W4,615,10,1594.0
W1+W4,615,11,1598.0
W1+W4,615,12,1597.0
W1+W4,615,13,1591.0
W1+W4,615,14,1596.0
W1+W4,615,15,1600.0
W1+W4,615,16,1591.0
W1+W4,615,17,1598.0
W1+W4,615,18,1601.0
W1+W4,615,19,1602.0
W1+W4,615,20,1569.0
W1+W5,646,1,1632.0
W1+W5,646,2,1630.0
W1+W5,646,3,1633.0
W1+W5,646,4,1628.0
W1+W5,646,5,1632.0
W1+W5,646,6,1633.0
W1+W5,646,7,1636.0
W1+W5,646,8,1630.0
W1+W5,646,9,1625.0
W1+W5,646,10,1610.0
W1+W5,646,11,1617.0
W1+W5,646,12,1613.0
W1+W5,646,13,1613.0
W1+W5,646,14,1621.0
W1+W5,646,15,1617.0
W1+W5,646,16,1620.0
W1+W5,646,17,1621.0
W1+W5,646,18,1621.0
W1+W5,646,19,1621.0
W1+W5,646,20,1621.0
W2+W3,387,1,558.0
W2+W3,387,2,559.0
W2+W3,387,3,559.0
W2+W3,387,4,558.0
W2+W3,387,5,559.0
W2+W3,387,6,562.0
W2+W3,387,7,565.0
W2+W3,387,8,565.0
W2+W3,387,9,562.0
W2+W3,387,10,567.0
W2+W3,387,11,559.0
W2+W3,387,12,561.0
W2+W3,387,13,564.0
W2+W3,387,14,568.0
W2+W3,387,15,560.0
W2+W3,387,16,562.0
W2+W3,387,17,565.0
W2+W3,387,18,572.0
W2+W3,387,19,570.0
W2+W3,387,20,572.0
W2+W4,615,1,1797.0
W2+W4,615,2,1793.0
W2+W4,615,3,1791.0
W2+W4,615,4,1796.0
W2+W4,615,5,1811.0
W2+W4,615,6,1798.0
W2+W4,615,7,1797.0
W2+W4,615,8,1798.0
W2+W4,615,9,1794.0
W2+W4,615,10,1798.0
W2+W4,615,11,1798.0
W2+W4,615,12,1794.0
W2+W4,615,13,1798.0
W2+W4,615,14,1796.0
W2+W4,615,15,1806.0
W2+W4,615,16,1799.0
W2+W4,615,17,1796.0
W2+W4,615,18,1799.0
W2+W4,615,19,1801.0
W2+W4,615,20,1798.0
W2+W5,646,1,1661.0
W2+W5,646,2,1663.0
W2+W5,646,3,1661.0
W2+W5,646,4,1663.0
W2+W5,646,5,1668.0
W2+W5,646,6,1661.0
W2+W5,646,7,1661.0
W2+W5,646,8,1663.0
W2+W5,646,9,1658.0
W2+W5,646,10,1661.0
W2+W5,646,11,1677.0
W2+W5,646,12,1671.0
W2+W5,646,13,1670.0
W2+W5,646,14,1670.0
W2+W5,646,15,1672.0
W2+W5,646,16,1673.0
W2+W5,646,17,1674.0
W2+W5,646,18,1671.0
W2+W5,646,19,1671.0
W2+W5,646,20,1672.0
W3+W4,746,1,142.0
W3+W4,746,2,142.0
W3+W4,746,3,142.0
W3+W4,746,4,142.0
W3+W4,746,5,142.0
W3+W4,746,6,142.0
W3+W4,746,7,142.0
W3+W4,746,8,142.0
W3+W4,746,9,142.0
