timestamp_us,grip_voltage,relative_time_us
102035451,1587,0
102035821,1504,370
102036192,1430,741
102036563,1364,1112
102036937,1313,1486
102037307,1278,1856
102037678,1258,2227
102038053,1257,2602
102038424,1266,2973
102038794,1296,3343
102039165,1337,3714
102039535,1393,4084
102039910,1463,4459
102040280,1543,4829
102040650,1633,5199
102041021,1733,5570
102041391,1837,5940
102041761,1945,6310
102042132,2057,6681
102042502,2168,7051
102042873,2280,7422
102043248,2381,7797
102043618,2482,8167
102043989,2572,8538
102044359,2650,8908
102044736,2719,9285
102045106,2776,9655
102045477,2814,10026
102045847,2843,10396
102046218,2850,10767
102046589,2845,11138
102046959,2828,11508
102047330,2791,11879
102047705,2740,12254
102048075,2676,12624
102048446,2603,12995
102048816,2514,13365
102049187,2418,13736
102049558,2317,14107
102049933,2213,14482
102050303,2098,14852
102050673,1989,15222
102051046,1877,15595
102051417,1770,15966
102051787,1673,16336
102052158,1575,16707
102052528,1490,17077
102052903,1415,17452
102053273,1353,17822
102053644,1307,18193
102054015,1274,18564
102054385,1257,18934
102054755,1255,19304
102055128,1271,19677
102055499,1302,20048
102055869,1347,20418
102056244,1406,20793
102056615,1469,21164
102056986,1552,21535
102057356,1643,21905
102057728,1744,22277
102058099,1849,22648
102058470,1959,23019
102058840,2069,23389
102059211,2182,23760
102059581,2288,24130
102059952,2394,24501
102060323,2491,24872
102060695,2580,25244
102061066,2658,25615
102061437,2730,25986
102061807,2779,26356
102062178,2820,26727
102062548,2847,27097
102062923,2852,27472
102063293,2846,27842
102063663,2827,28212
102064038,2789,28587
102064408,2740,28957
102064779,2672,29328
102065150,2595,29699
102065520,2503,30069
102065895,2407,30444
102066265,2306,30814
102066636,2197,31185
102067007,2085,31556
102067377,1976,31926
102067747,1865,32296
102068118,1756,32667
102068489,1657,33038
102068859,1566,33408
102069234,1480,33783
102069605,1409,34154
102069975,1353,34524
102070346,1304,34895
102070719,1272,35268
102071090,1255,35639
102071460,1253,36009
102071830,1272,36379
102072201,1301,36750
102072572,1346,37121
102072942,1404,37491
102073313,1475,37862
102073685,1560,38234
102074056,1651,38605
102074427,1751,38976
102074797,1858,39346
102075168,1967,39717
102075538,2086,40087
102075913,2195,40462
102076283,2306,40832
102076654,2405,41203
102077024,2500,41573
102077395,2590,41944
102077765,2665,42314
102078136,2730,42685
102078507,2784,43056
102078882,2822,43431
102079252,2846,43801
102079622,2852,44171
102079993,2844,44542
102080364,2823,44913
102080738,2783,45287
102081109,2729,45658
102081480,2665,46029
102081850,2589,46399
102082225,2499,46774
102082596,2400,47145
102082966,2297,47515
102083337,2187,47886
102083710,2079,48259
102084081,1965,48630
102084451,1854,49000
102084821,1750,49370
102085192,1649,49741
102085563,1556,50112
102085937,1473,50486
102086307,1403,50856
102086678,1342,51227
102087053,1298,51602
102087424,1270,51973
102087794,1256,52343
102088165,1253,52714
102088535,1272,53084
102088910,1305,53459
102089280,1349,53829
102089650,1411,54199
102090021,1484,54570
102090391,1567,54940
102090761,1661,55310
102091132,1763,55681
102091502,1868,56051
102091873,1979,56422
102092248,2092,56797
102092618,2202,57167
102092989,2308,57538
102093359,2413,57908
102093736,2510,58285
102094106,2599,58655
102094477,2674,59026
102094847,2740,59396
102095218,2792,59767
102095589,2833,60138
102095959,2853,60508
102096330,2860,60879
102096705,2845,61254
102097075,2822,61624
102097446,2778,61995
102097816,2725,62365
102098187,2660,62736
102098558,2578,63107
102098933,2487,63482
102099303,2390,63852
102099673,2285,64222
102100046,2176,64595
102100417,2066,64966
102100787,1954,65336
102101158,1845,65707
102101528,1742,66077
102101903,1638,66452
102102273,1548,66822
102102644,1467,67193
102103015,1395,67564
102103385,1339,67934
102103755,1296,68304
102104128,1266,68677
102104499,1255,69048
102104869,1257,69418
102105244,1273,69793
102105615,1307,70164
102105986,1356,70535
102106356,1417,70905
102106728,1492,71277
102107099,1575,71648
102107470,1670,72019
102107840,1772,72389
102108211,1881,72760
102108581,1990,73130
102108952,2102,73501
102109323,2216,73872
102109695,2321,74244
102110066,2425,74615
102110437,2519,74986
102110807,2604,75356
102111178,2683,75727
102111548,2744,76097
102111923,2793,76472
102112293,2829,76842
102112663,2848,77212
102113038,2853,77587
102113408,2845,77957
102113779,2814,78328
102114150,2772,78699
102114520,2719,79069
102114895,2652,79444
102115265,2571,79814
102115636,2483,80185
102116007,2388,80556
102116377,2279,80926
102116747,2168,81296
102117118,2056,81667
102117489,1944,82038
102117859,1831,82408
102118234,1728,82783
102118605,1631,83154
102118975,1539,83524
102119346,1461,83895
102119719,1389,84268
102120090,1333,84639
102120460,1293,85009
102120830,1267,85379
102121201,1252,85750
102121572,1258,86121
102121942,1279,86491
102122313,1312,86862
102122685,1364,87234
102123056,1424,87605
102123427,1500,87976
102123797,1587,88346
102124168,1680,88717
102124538,1783,89087
102124913,1893,89462
102125283,2002,89832
102125654,2110,90203
102126024,2223,90573
102126395,2330,90944
102126765,2429,91314
