timestamp_us,ch0,ch1,ch2,ch3,ch4,ch5,time_s
90956017,2115,23,9,10,11,12,0.0
90957017,2075,20,5,7,7,7,0.001
90958016,2056,20,5,5,5,4,0.001999
90959017,2035,19,5,5,6,6,0.003
90960017,1983,16,2,6,5,0,0.004
90961016,1991,17,3,4,1,0,0.004999
90962017,1967,16,4,0,3,4,0.006
90963016,1955,16,3,5,2,0,0.006999
90964017,1895,15,3,3,5,0,0.008
90965016,1924,14,2,1,0,0,0.008999
90966016,1962,17,3,3,4,1,0.009999
90967017,2029,21,5,3,6,7,0.011
90968017,2039,24,5,6,6,6,0.012
90969016,2067,23,8,7,7,8,0.012999
90970017,2096,25,7,10,8,8,0.014
90971016,2135,25,9,8,7,11,0.014999
90972017,2143,24,9,9,11,11,0.016
90973016,2152,25,9,10,13,9,0.016999
90974016,2176,26,10,13,11,16,0.017999
90975016,2184,27,11,11,12,12,0.018999
90976017,2147,25,8,7,12,10,0.02
90977017,2082,20,7,8,6,10,0.021
90978017,2029,21,5,4,5,4,0.022
90979016,2021,19,6,6,7,6,0.022999
90980016,1996,16,3,4,1,0,0.023999
90981017,1996,16,3,3,4,1,0.025
90982017,1961,15,3,2,3,2,0.026
90983016,1946,16,2,2,1,0,0.026999
90984017,1931,14,1,0,0,0,0.028
90985016,1914,14,1,1,0,0,0.028999
90986017,1960,17,3,5,1,0,0.03
90987016,2019,21,6,6,7,6,0.030999
90988016,2049,20,6,8,5,4,0.031999
90989017,2059,24,7,7,9,8,0.033
90990017,2136,25,8,7,11,12,0.034
90991016,2123,26,9,8,7,12,0.034999
90992017,2145,26,8,9,9,9,0.036
90993016,2158,26,11,12,10,13,0.036999
90994016,2175,27,10,12,12,11,0.037999
90995016,2204,24,10,11,14,15,0.038999
90996016,2113,23,9,7,10,12,0.039999
90997016,2067,21,6,8,5,6,0.040999
90998017,2059,20,5,4,5,6,0.042
90999017,2036,18,6,6,6,6,0.043
91000016,1992,16,2,3,4,1,0.043999
91001017,1955,18,4,3,4,2,0.045
91002016,1959,15,3,3,2,3,0.045999
91003017,1967,17,1,0,0,0,0.047
91004016,1916,14,2,3,2,0,0.047999
91005016,1924,14,3,1,0,0,0.048999
91006017,1944,18,4,1,3,2,0.05
91007017,2024,19,6,7,6,6,0.051
91008016,2056,22,6,6,7,6,0.051999
91009017,2089,22,7,7,7,7,0.053
91010016,2109,25,7,9,7,10,0.053999
91011016,2108,25,7,9,9,9,0.054999
91012017,2126,26,9,8,10,14,0.056
91013017,2147,27,9,10,13,9,0.057
91014016,2183,26,10,12,12,12,0.057999
91015016,2183,26,10,11,12,12,0.058999
91016017,2143,25,8,7,11,13,0.06
91017017,2067,19,8,7,7,9,0.061
91018016,2048,20,6,7,6,7,0.061999
91019017,2039,20,5,3,5,3,0.063
91020016,1979,17,4,3,3,2,0.063999
91021017,1975,16,3,4,0,1,0.065
91022016,1958,16,2,3,3,2,0.065999
91023016,1949,15,3,3,3,0,0.066999
91024017,1897,15,2,2,0,0,0.068
91025017,1895,15,1,0,0,0,0.069
91026016,1949,18,4,2,4,0,0.069999
91027017,2027,22,5,6,5,4,0.071
91028016,2012,19,6,8,4,7,0.071999
91029017,2071,24,6,7,8,7,0.073
91030016,2097,26,9,7,10,11,0.073999
91031016,2117,26,8,9,7,12,0.074999
91032017,2143,25,8,9,9,9,0.076
91033016,2145,25,10,12,10,13,0.076999
91034016,2195,28,9,9,11,14,0.077999
91035016,2188,25,9,12,11,14,0.078999
91036017,2144,24,8,11,14,11,0.08
91037016,2078,20,6,8,6,8,0.080999
91038016,2062,20,5,4,5,5,0.081999
91039017,2018,18,5,5,4,4,0.083
91040017,1999,15,3,4,2,4,0.084
91041016,1999,16,3,4,3,2,0.084999
91042017,1968,15,3,3,4,0,0.086
91043016,1943,16,3,3,3,1,0.086999
91044017,1926,13,1,0,0,0,0.088
91045016,1895,15,3,3,2,1,0.088999
91046016,1939,17,2,2,2,1,0.089999
91047017,2019,22,6,6,5,3,0.091
91048017,2028,21,7,8,3,8,0.092
91049016,2060,21,6,7,9,6,0.092999
91050017,2118,26,9,7,10,13,0.094
91051017,2111,24,7,11,9,9,0.095
91052017,2135,25,9,9,8,12,0.096
91053016,2158,24,9,10,12,12,0.096999
91054016,2176,28,9,12,9,13,0.097999
91055017,2188,25,9,12,11,15,0.099
