Time_s,ADC6,CH0
0.0,1225,0.027600519113648574
100.001,1236,
100.002,1239,
100.003,1240,
100.004,1239,
100.005,1239,
100.006,1243,
100.007,1236,
100.06,1228,
100.061,1234,
100.062,1239,
100.063,1236,
100.064,1234,
100.065,1234,
100.066,1239,
100.067,1235,
100.068,1231,
100.069,1217,
100.07,1212,
100.071,1193,
100.072,1188,
100.073,1176,
100.074,1179,
100.075,1183,
100.076,1189,
100.077,1199,
100.078,1212,
100.079,1216,
100.08,1227,
100.081,1223,
100.082,1232,
100.083,1232,
100.084,1242,
100.085,1239,
100.086,1247,
100.087,1240,
100.088,1234,
100.089,1223,
100.09,1215,
100.091,1204,
100.092,1200,
100.093,1199,
100.094,1199,
100.095,1203,
100.096,1208,
100.097,1208,
100.098,1215,
100.099,1222,
100.1,1232,
100.101,1236,
100.102,1239,
100.103,1240,
100.104,1242,
100.105,1236,
100.106,1240,
100.107,1233,
100.108,1226,
100.109,1218,
100.11,1216,
100.111,1204,
100.112,1199,
100.113,1191,
100.114,1191,
100.115,1196,
100.116,1196,
100.117,1208,
100.118,1215,
100.119,1221,
100.12,1233,
100.121,1240,
100.122,1247,
100.123,1247,
100.124,1248,
100.125,1247,
100.126,1242,
100.127,1248,
100.128,1242,
100.129,1232,
100.13,1224,
100.131,1216,
100.132,1211,
100.133,1210,
100.134,1200,
100.135,1207,
100.136,1209,
100.137,1214,
100.138,1216,
100.139,1224,
100.14,1232,
100.141,1231,
100.142,1240,
100.143,1239,
100.144,1235,
100.145,1240,
100.146,1233,
100.147,1229,
100.148,1232,
100.149,1224,
100.15,1214,
100.151,1204,
100.152,1200,
100.153,1196,
100.154,1190,
100.155,1191,
100.156,1200,
100.157,1211,
100.158,1224,
100.159,1228,
100.16,1223,
100.161,1231,
100.162,1228,
100.163,1232,
100.164,1232,
100.165,1240,
100.166,1240,
100.167,1232,
100.168,1223,
100.169,1220,
100.17,1208,
100.171,1199,
100.172,1188,
100.173,1179,
100.174,1179,
100.175,1176,
100.176,1182,
100.177,1191,
100.178,1199,
100.179,1208,
100.18,1216,
100.181,1224,
100.182,1228,
100.183,1224,
100.184,1228,
100.185,1228,
100.186,1224,
100.187,1226,
100.188,1221,
100.189,1216,
100.19,1208,
100.191,1195,
100.192,1183,
100.193,1188,
100.194,1183,
100.195,1188,
100.196,1192,
100.197,1200,
100.198,1204,
100.199,1215,
100.2,1224,
100.201,1224,
100.202,1229,
100.203,1234,
100.204,1239,
100.205,1240,
100.206,1240,
100.207,1239,
100.208,1225,
100.209,1218,
100.21,1208,
100.211,1199,
100.212,1191,
100.213,1191,
100.214,1186,
100.215,1192,
100.216,1192,
100.217,1199,
100.218,1212,
100.219,1216,
100.22,1223,
100.221,1232,
100.222,1232,
100.223,1232,
100.224,1232,
100.225,1231,
100.226,1229,
100.227,1232,
100.228,1228,
100.229,1216,
100.23,1210,
100.231,1196,
100.232,1191,
100.233,1186,
100.234,1187,
100.235,1188,
100.236,1199,
100.237,1207,
100.238,1215,
100.239,1221,
100.24,1232,
100.241,1239,
100.242,1232,
100.243,1239,
100.244,1231,
100.245,1229,
100.246,1227,
100.247,1228,
100.248,1223,
100.249,1216,
100.25,1201,
100.251,1192,
100.252,1187,
100.253,1183,
100.254,1183,
100.255,1188,
100.256,1199,
100.257,1203,
100.258,1215,
100.259,1224,
100.26,1232,
100.261,1240,
100.262,1241,
100.263,1247,
100.264,1249,
100.265,1252,
100.266,1252,
100.267,1248,
100.268,1248,
100.269,1240,
100.27,1226,
100.271,1220,
100.272,1214,
100.273,1204,
100.274,1208,
100.275,1208,
100.276,1209,
100.277,1215,
100.278,1223,
100.279,1224,
100.28,1229,
100.281,1232,
100.282,1233,
100.283,1240,
100.284,1242,
100.285,1246,
100.286,1246,
100.287,1236,
100.288,1232,
100.289,1224,
100.29,1215,
100.291,1208,
100.292,1200,
100.293,1200,
100.294,1195,
100.295,1200,
100.296,1201,
100.297,1214,
100.298,1219,
100.299,1236,
100.3,1243,
100.301,1248,
100.302,1255,
100.303,1256,
100.304,1255,
100.305,1262,
100.306,1253,
100.307,1248,
100.308,1241,
100.309,1232,
100.31,1223,
100.311,1214,
100.312,1208,
100.313,1206,
100.314,1200,
100.315,1207,
100.316,1208,
100.317,1216,
100.318,1224,
100.319,1231,
100.32,1239,
100.321,1247,
100.322,1244,
100.323,1247,
100.324,1252,
100.325,1244,
100.326,1248,
100.327,1240,
100.328,1239,
100.329,1222,
100.33,1218,
100.331,1214,
100.332,1208,
100.333,1201,
100.334,1202,
100.335,1204,
100.336,1204,
100.337,1212,
100.338,1216,
100.339,1224,
100.34,1230,
100.341,1229,
100.342,1236,
100.343,1242,
100.344,1240,
100.345,1240,
100.346,1236,
