Time (s),Voltage (V)
-0.05,-6.0
-0.049960000000000004,-7.0
-0.049920000000000006,-6.0
-0.04988,-6.0
-0.04984,-7.0
-0.049800000000000004,-9.0
-0.049760000000000006,-9.0
-0.04972,-8.0
-0.04968,-9.0
-0.049640000000000004,-9.0
-0.049600000000000005,-9.0
-0.04956,-9.0
-0.04952,-9.0
-0.04948,-10.0
-0.049440000000000005,-10.0
-0.0494,-10.0
-0.04936,-9.0
-0.04932,-9.0
-0.049280000000000004,-9.0
-0.049240000000000006,-10.0
-0.0492,-11.0
-0.04916,-11.0
-0.049120000000000004,-10.0
-0.049080000000000006,-10.0
-0.04904,-10.0
-0.049,-11.0
-0.048960000000000004,-11.0
-0.048920000000000005,-12.0
-0.04888,-12.0
-0.04884,-12.0
-0.0488,-11.0
-0.048760000000000005,-12.0
-0.04872,-11.0
-0.04868,-12.0
-0.04864,-13.0
-0.048600000000000004,-13.0
-0.048560000000000006,-13.0
-0.04852,-13.0
-0.04848,-13.0
-0.048440000000000004,-13.0
-0.048400000000000006,-13.0
-0.04836,-14.0
-0.04832,-14.0
-0.04828,-12.0
-0.048240000000000005,-13.0
-0.0482,-12.0
-0.04816,-11.0
-0.04812,-11.0
-0.048080000000000005,-10.0
-0.04804,-12.0
-0.048,-11.0
-0.04796,-11.0
-0.047920000000000004,-11.0
-0.047880000000000006,-11.0
-0.04784,-11.0
-0.0478,-11.0
-0.047760000000000004,-13.0
-0.047720000000000005,-14.0
-0.04768,-13.0
-0.04764,-13.0
-0.0476,-14.0
-0.047560000000000005,-14.0
-0.04752,-18.0
-0.04748,-16.0
-0.04744,-15.0
-0.047400000000000005,-15.0
-0.04736,-14.0
-0.04732,-15.0
-0.04728,-14.0
-0.047240000000000004,-17.0
-0.047200000000000006,-16.0
-0.04716,-15.0
-0.04712,-16.0
-0.047080000000000004,-14.0
-0.047040000000000005,-14.0
-0.047,-14.0
-0.04696,-15.0
-0.04692,-14.0
-0.046880000000000005,-16.0
-0.04684,-15.0
-0.0468,-16.0
-0.04676,-15.0
-0.046720000000000005,-15.0
-0.04668,-16.0
-0.04664,-17.0
-0.0466,-17.0
-0.046560000000000004,-17.0
-0.046520000000000006,-21.0
-0.04648,-18.0
-0.04644,-16.0
-0.046400000000000004,-17.0
-0.046360000000000005,-18.0
-0.04632,-19.0
-0.04628,-18.0
-0.04624,-17.0
-0.046200000000000005,-16.0
-0.04616,-16.0
-0.04612,-16.0
-0.04608,-17.0
-0.046040000000000005,-16.0
-0.046,-17.0
-0.04596,-17.0
-0.04592,-17.0
-0.045880000000000004,-15.0
-0.045840000000000006,-15.0
-0.0458,-16.0
-0.04576,-15.0
-0.045720000000000004,-16.0
-0.045680000000000005,-19.0
-0.04564,-19.0
-0.0456,-20.0
-0.04556,-21.0
-0.045520000000000005,-25.0
-0.04548,-23.0
-0.04544,-24.0
-0.0454,-24.0
-0.045360000000000004,-25.0
-0.04532,-24.0
-0.04528,-24.0
-0.04524,-25.0
-0.045200000000000004,-25.0
-0.045160000000000006,-25.0
-0.04512,-25.0
-0.04508,-25.0
-0.045040000000000004,-23.0
-0.045000000000000005,-23.0
-0.04496,-23.0
-0.04492,-23.0
-0.04488,-23.0
-0.044840000000000005,-22.0
-0.0448,-21.0
-0.04476,-20.0
-0.04472,-19.0
-0.044680000000000004,-19.0
-0.04464,-19.0
-0.0446,-20.0
-0.04456,-21.0
-0.044520000000000004,-22.0
-0.044480000000000006,-23.0
-0.04444,-20.0
-0.0444,-21.0
-0.044360000000000004,-22.0
-0.044320000000000005,-22.0
-0.04428,-24.0
-0.04424,-25.0
-0.0442,-25.0
-0.044160000000000005,-25.0
-0.04412,-25.0
-0.04408,-25.0
-0.04404,-26.0
-0.044000000000000004,-26.0
-0.04396,-26.0
-0.04392,-26.0
-0.04388,-25.0
-0.043840000000000004,-25.0
-0.043800000000000006,-25.0
-0.04376,-25.0
-0.04372,-25.0
-0.043680000000000004,-25.0
-0.043640000000000005,-23.0
-0.0436,-23.0
-0.04356,-22.0
-0.04352,-21.0
-0.043480000000000005,-20.0
-0.04344,-20.0
-0.0434,-18.0
-0.04336,-19.0
-0.043320000000000004,-17.0
-0.04328,-16.0
-0.04324,-15.0
-0.0432,-14.0
-0.043160000000000004,-15.0
-0.043120000000000006,-15.0
-0.04308,-15.0
-0.04304,-14.0
-0.043000000000000003,-14.0
-0.042960000000000005,-13.0
-0.04292,-13.0
-0.04288,-14.0
-0.04284,-13.0
-0.042800000000000005,-14.0
-0.04276,-13.0
-0.04272,-11.0
-0.04268,-11.0
-0.042640000000000004,-10.0
-0.0426,-10.0
-0.04256,-11.0
-0.04252,-10.0
-0.042480000000000004,-9.0
-0.042440000000000005,-8.0
-0.0424,-7.0
-0.04236,-7.0
-0.04232,-6.0
-0.042280000000000005,-7.0
-0.04224,-6.0
-0.0422,-6.0
-0.04216,-5.0
-0.042120000000000005,-5.0
-0.042080000000000006,-5.0
-0.04204,-4.0
-0.042,-5.0
-0.041960000000000004,-5.0
-0.04192,-5.0
-0.04188,-4.0
-0.04184,-4.0
-0.041800000000000004,-4.0
-0.041760000000000005,-2.0
-0.04172,-4.0
-0.04168,-3.0
-0.04164,-3.0
-0.0416,-3.0
-0.04156,-2.0
-0.04152,-3.0
-0.04148,0.0
-0.041440000000000005,-2.0
-0.041400000000000006,-3.0
-0.04136,-2.0
-0.04132,-2.0
-0.041280000000000004,-2.0
-0.04124,-2.0
-0.0412,-1.0
-0.04116,-2.0
-0.041120000000000004,-2.0
-0.041080000000000005,-2.0
-0.04104,-2.0
-0.041,-2.0
-0.04096,-1.0
-0.04092,0.0
-0.04088,-1.0
-0.04084,0.0
-0.0408,-1.0
-0.040760000000000005,-1.0
-0.040720000000000006,-1.0
-0.04068,0.0
-0.04064,1.0
-0.040600000000000004,0.0
-0.04056,0.0
-0.04052,-2.0
-0.04048,0.0
-0.040440000000000004,-1.0
-0.040400000000000005,1.0
-0.04036,1.0
-0.04032,2.0
-0.04028,2.0
-0.04024,2.0
-0.0402,2.0
-0.04016,2.0
-0.04012,4.0
-0.040080000000000005,5.0
-0.040040000000000006,5.0
-0.04,6.0
-0.03996,6.0
-0.039920000000000004,7.0
-0.03988,8.0
-0.03984,9.0
-0.0398,10.0
-0.039760000000000004,9.0
-0.039720000000000005,10.0
-0.03968,10.0
-0.03964,10.0
-0.0396,10.0
-0.03956,10.0
-0.03952,9.0
-0.03948,11.0
-0.03944,11.0
-0.039400000000000004,11.0
-0.039360000000000006,11.0
-0.03932,10.0
-0.03928,10.0
-0.039240000000000004,10.0
-0.0392,11.0
-0.03916,11.0
-0.03912,10.0
-0.039080000000000004,11.0
-0.039040000000000005,11.0
-0.039,11.0
-0.03896,12.0
-0.03892,12.0
-0.03888,12.0
-0.03884,12.0
-0.0388,13.0
-0.03876,13.0
-0.038720000000000004,13.0
-0.038680000000000006,12.0
-0.03864,13.0
-0.0386,14.0
-0.038560000000000004,14.0
-0.03852,15.0
-0.03848,13.0
-0.03844,12.0
-0.038400000000000004,13.0
-0.038360000000000005,13.0
-0.03832,14.0
-0.03828,14.0
-0.03824,12.0
-0.0382,12.0
-0.03816,12.0
-0.03812,11.0
-0.03808,11.0
-0.038040000000000004,12.0
-0.038000000000000006,12.0
-0.03796,11.0
-0.03792,11.0
-0.037880000000000004,11.0
-0.03784,11.0
-0.0378,13.0
-0.03776,14.0
-0.037720000000000004,14.0
-0.037680000000000005,14.0
-0.03764,14.0
-0.0376,15.0
-0.03756,16.0
-0.03752,16.0
-0.03748,16.0
-0.03744,17.0
-0.0374,15.0
-0.037360000000000004,15.0
-0.037320000000000006,16.0
-0.03728,15.0
-0.03724,15.0
-0.037200000000000004,15.0
-0.03716,17.0
-0.03712,17.0
-0.03708,16.0
-0.037040000000000003,15.0
-0.037000000000000005,15.0
-0.03696,16.0
-0.03692,16.0
-0.03688,17.0
-0.03684,17.0
-0.0368,17.0
-0.03676,16.0
-0.03672,15.0
-0.036680000000000004,16.0
-0.036640000000000006,17.0
-0.0366,18.0
